,coc,con,brc,brn,OC,BCM,BC,MBC,SCA,SC,ST,Year
10,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",PT,Printing Technology,195.0,190.75,194.25,192.5,180.25,183.75,164.5,2017
11,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",XC,Civil Engineering (Tamil Medium),192.25,190.5,190.5,188.75,173.0,179.5,161.0,2017
12,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",XM,Mechanical Engineering (Tamil Medium),193.5,191.25,191.0,189.25,175.75,180.0,164.25,2017
13,2,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",CH,Chemical Engineering,198.5,196.75,197.75,197.0,195.25,193.5,185.25,2017
14,2,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",CL,CHEMICAL ENGINEERING(SS),197.25,196.5,197.0,195.5,183.75,188.0,176.0,2017
15,2,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",LE,Leather Technology,193.75,193.0,192.75,191.25,179.75,181.75,178.5,2017
16,2,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",PP,Petroleum Engineering And Tech(SS),195.75,194.75,195.0,193.5,176.25,185.75,165.25,2017
17,2,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",TX,Textile Technology,193.75,192.25,193.0,191.75,177.0,182.0,157.25,2017
18,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",AU,Automobile Engineering,197.5,196.75,197.0,195.75,187.0,191.25,180.75,2017
19,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",CS,Computer Science and Engg.,198.75,198.0,198.5,197.75,197.5,195.0,192.25,2017
20,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",EC,Electronics and Comm Engg.,199.25,198.0,199.0,198.25,196.25,196.5,188.25,2017
21,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",EI,Electronics and Instru Engg.,198.25,197.75,198.0,197.25,190.75,192.75,176.5,2017
22,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",EM,Electronics and Comm Engg(SS),198.75,197.0,198.5,197.75,188.75,193.5,177.75,2017
23,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",IM,Information Technology(SS),197.75,196.25,197.5,196.0,180.0,188.75,168.0,2017
24,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",MF,Mechanical Engineering(SS),198.75,197.5,198.25,197.75,191.5,194.25,186.75,2017
25,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",PR,Production Engineering,196.75,195.5,196.25,194.75,186.25,186.75,168.0,2017
26,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",RP,Rubber and Plastic Technology,194.75,191.5,193.5,193.0,174.75,183.75,161.25,2017
27,1013,"UNIVERSITY COLLEGE OF ENGINEERING, VILLUPURAM,VILLUPURAM (POST) , KAKUPPAM (VILLAGE),VILLUPURAM DIST, PIN - 605103.",CS,Computer Science and Engg.,179.25,168.75,174.0,175.5,163.25,162.75,149.25,2017
28,1013,"UNIVERSITY COLLEGE OF ENGINEERING, VILLUPURAM,VILLUPURAM (POST) , KAKUPPAM (VILLAGE),VILLUPURAM DIST, PIN - 605103.",ME,Mechanical Engineering,180.25,174.0,176.0,176.5,144.25,167.5,175.25,2017
29,1014,"UNIVERSITY COLLEGE OF ENGINEERING, TINDIVANAM,IYYANTHOPE (POST) , MELPAKKAM (VILLAGE),VILLUPURAM DIST, PIN - 604001.",CE,Civil Engineering,174.75,156.5,158.75,163.75,122.25,161.5,139.5,2017
30,1014,"UNIVERSITY COLLEGE OF ENGINEERING, TINDIVANAM,IYYANTHOPE (POST) , MELPAKKAM (VILLAGE),VILLUPURAM DIST, PIN - 604001.",CS,Computer Science and Engg.,173.5,156.0,167.0,168.25,164.5,161.25,139.25,2017
31,1015,"UNIVERSITY COLLEGE OF ENGINEERING, ARNI,ARNI TO DEVIKAPURAM ROAD, THATCHUR, ARNI,THIRUVANNAMALAI DIST, PIN - 632326.",CS,Computer Science and Engg.,169.75,143.75,162.0,163.0,99.5,151.0,131.0,2017
32,1015,"UNIVERSITY COLLEGE OF ENGINEERING, ARNI,ARNI TO DEVIKAPURAM ROAD, THATCHUR, ARNI,THIRUVANNAMALAI DIST, PIN - 632326.",EC,Electronics and Comm Engg.,182.25,105.5,173.25,173.25,153.0,151.75,155.0,2017
33,1015,"UNIVERSITY COLLEGE OF ENGINEERING, ARNI,ARNI TO DEVIKAPURAM ROAD, THATCHUR, ARNI,THIRUVANNAMALAI DIST, PIN - 632326.",EE,Electrical and Elec. Engg.,175.25,142.25,168.0,171.25,128.75,150.0,135.0,2017
34,1026,"UNIVERSITY COLLEGE OF ENGINEERING, KANCHIPURAM,NH-4, CHENNAI BANGALORE HIGHWAY, PONNERIKKARAI,KANCHEEPURAM DIST, PIN - 631552.",CS,Computer Science and Engg.,187.25,178.75,183.0,179.5,174.0,165.25,140.75,2017
35,1026,"UNIVERSITY COLLEGE OF ENGINEERING, KANCHIPURAM,NH-4, CHENNAI BANGALORE HIGHWAY, PONNERIKKARAI,KANCHEEPURAM DIST, PIN - 631552.",ME,Mechanical Engineering,187.25,180.0,181.25,180.0,172.0,164.5,142.5,2017
36,1113,"R.M.K. ENGINEERING COLLEGE,R.S.M. NAGAR,,THIRUVALLUR DIST, PIN - 601206.",CE,Civil Engineering,186.25,173.0,182.5,177.75,116.0,154.5,135.25,2017
37,1113,"R.M.K. ENGINEERING COLLEGE,R.S.M. NAGAR,,THIRUVALLUR DIST, PIN - 601206.",EC,Electronics and Comm Engg.,194.75,190.5,193.75,190.25,148.0,174.0,166.5,2017
38,1113,"R.M.K. ENGINEERING COLLEGE,R.S.M. NAGAR,,THIRUVALLUR DIST, PIN - 601206.",EE,Electrical and Elec. Engg.,193.25,184.0,191.5,188.75,133.25,173.75,146.5,2017
39,1120,"VELAMMAL ENGINEERING COLLEGE,VELAMMAL NEWGEN PARK, AMBATTUR- RED HILLS ROAD,THIRUVALLUR DIST, PIN - 600066.",CS,Computer Science and Engg.,188.0,182.75,186.0,177.0,152.25,146.5,118.5,2017
40,1128,"R.M.K. COLLEGE OF ENGINEERING AND TECHNOLOGY,R.S.M. NAGAR, PUDUVOYAL, GUMMIDIPOONDI (T.K),THIRUVALLUR DIST, PIN - 601206.",ME,Mechanical Engineering,186.0,181.5,183.75,176.5,86.25,155.0,163.5,2017
41,1210,"PANIMALAR ENGINEERING COLLEGE,BANGALORE TRUNK ROAD,,THIRUVALLUR DIST, PIN - 600123.",CS,Computer Science and Engg.,190.5,177.75,189.0,183.75,106.75,147.0,110.0,2017
42,1210,"PANIMALAR ENGINEERING COLLEGE,BANGALORE TRUNK ROAD,,THIRUVALLUR DIST, PIN - 600123.",EC,Electronics and Comm Engg.,192.75,185.5,190.5,187.0,129.0,168.25,137.25,2017
43,1210,"PANIMALAR ENGINEERING COLLEGE,BANGALORE TRUNK ROAD,,THIRUVALLUR DIST, PIN - 600123.",EE,Electrical and Elec. Engg.,190.0,173.5,187.5,184.0,126.75,156.0,151.0,2017
44,1210,"PANIMALAR ENGINEERING COLLEGE,BANGALORE TRUNK ROAD,,THIRUVALLUR DIST, PIN - 600123.",ME,Mechanical Engineering,190.0,181.75,187.0,183.25,120.5,156.5,126.0,2017
45,1211,"RAJALAKSHMI ENGINEERING COLLEGE (AUTONOMOUS),RAJALAKSHMI NAGAR, CHENNAI-BANGALORE HIGHWAY,,KANCHEEPURAM DIST, PIN - 602105.",BM,Bio Medical Engineering,192.75,186.5,189.25,185.25,153.75,171.5,170.75,2017
46,1211,"RAJALAKSHMI ENGINEERING COLLEGE (AUTONOMOUS),RAJALAKSHMI NAGAR, CHENNAI-BANGALORE HIGHWAY,,KANCHEEPURAM DIST, PIN - 602105.",BT,Bio-Technology,191.25,190.5,189.0,186.0,106.0,166.25,152.25,2017
47,1211,"RAJALAKSHMI ENGINEERING COLLEGE (AUTONOMOUS),RAJALAKSHMI NAGAR, CHENNAI-BANGALORE HIGHWAY,,KANCHEEPURAM DIST, PIN - 602105.",CE,Civil Engineering,180.75,168.25,176.5,170.5,80.0,150.0,123.0,2017
48,1211,"RAJALAKSHMI ENGINEERING COLLEGE (AUTONOMOUS),RAJALAKSHMI NAGAR, CHENNAI-BANGALORE HIGHWAY,,KANCHEEPURAM DIST, PIN - 602105.",CS,Computer Science and Engg.,190.0,178.5,188.0,180.0,111.5,152.0,99.75,2017
49,1211,"RAJALAKSHMI ENGINEERING COLLEGE (AUTONOMOUS),RAJALAKSHMI NAGAR, CHENNAI-BANGALORE HIGHWAY,,KANCHEEPURAM DIST, PIN - 602105.",EC,Electronics and Comm Engg.,190.5,183.75,189.0,183.5,88.75,165.5,142.0,2017
50,1211,"RAJALAKSHMI ENGINEERING COLLEGE (AUTONOMOUS),RAJALAKSHMI NAGAR, CHENNAI-BANGALORE HIGHWAY,,KANCHEEPURAM DIST, PIN - 602105.",EE,Electrical and Elec. Engg.,187.25,180.75,185.0,177.5,116.75,151.5,140.75,2017
51,1211,"RAJALAKSHMI ENGINEERING COLLEGE (AUTONOMOUS),RAJALAKSHMI NAGAR, CHENNAI-BANGALORE HIGHWAY,,KANCHEEPURAM DIST, PIN - 602105.",ME,Mechanical Engineering,190.25,185.5,187.5,182.0,114.25,163.75,100.25,2017
52,1216,"SAVEETHA ENGINEERING COLLEGE,SAVEETHA NAGAR,,KANCHEEPURAM DIST, PIN - 602105.",EC,Electronics and Comm Engg.,173.0,163.75,169.25,162.5,113.5,130.5,144.25,2017
53,1219,"SRI VENKATESWARA COLLEGE OF ENGINEERING (AUTONOMOUS),POST BAG NO.1,,KANCHEEPURAM DIST, PIN - 602117.",CS,Computer Science and Engg.,196.25,193.0,195.5,193.0,153.5,179.0,144.25,2017
54,1219,"SRI VENKATESWARA COLLEGE OF ENGINEERING (AUTONOMOUS),POST BAG NO.1,,KANCHEEPURAM DIST, PIN - 602117.",EE,Electrical and Elec. Engg.,195.75,191.5,195.0,191.75,171.0,176.25,155.0,2017
55,1219,"SRI VENKATESWARA COLLEGE OF ENGINEERING (AUTONOMOUS),POST BAG NO.1,,KANCHEEPURAM DIST, PIN - 602117.",ME,Mechanical Engineering,196.0,194.25,195.5,193.5,153.0,181.0,160.75,2017
56,1304,"EASWARI ENGINEERING COLLEGE,BHARATHI SALAI,,THIRUVALLUR DIST, PIN - 600089.",CE,Civil Engineering,180.5,171.5,174.25,167.0,139.0,132.25,104.75,2017
57,1304,"EASWARI ENGINEERING COLLEGE,BHARATHI SALAI,,THIRUVALLUR DIST, PIN - 600089.",CS,Computer Science and Engg.,192.75,187.5,190.67,182.0,102.75,154.5,98.75,2017
58,1304,"EASWARI ENGINEERING COLLEGE,BHARATHI SALAI,,THIRUVALLUR DIST, PIN - 600089.",EC,Electronics and Comm Engg.,192.0,183.5,189.5,185.5,159.5,154.0,163.5,2017
59,1304,"EASWARI ENGINEERING COLLEGE,BHARATHI SALAI,,THIRUVALLUR DIST, PIN - 600089.",IT,Information Technology,189.0,171.25,187.0,174.75,100.75,145.25,165.75,2017
60,1309,"MEENAKSHI SUNDARARAJAN ENGINEERING COLLEGE,NO.363, ARCOT ROAD,,CHENNAI DIST, PIN - 600024.",EC,Electronics and Comm Engg.,189.75,179.75,186.0,180.5,107.0,159.25,134.5,2017
61,1315,"SRI SIVASUBRAMANIYA NADAR COLLEGE OF ENGINEERING (AUTONOMOUS),RAJIV GANDHI SALAI (OMR),KANCHEEPURAM DIST, PIN - 603110.",CE,Civil Engineering,196.5,196.5,196.0,194.5,168.5,186.0,156.75,2017
62,1315,"SRI SIVASUBRAMANIYA NADAR COLLEGE OF ENGINEERING (AUTONOMOUS),RAJIV GANDHI SALAI (OMR),KANCHEEPURAM DIST, PIN - 603110.",CS,Computer Science and Engg.,197.5,194.75,197.0,195.25,170.25,185.25,158.0,2017
63,1315,"SRI SIVASUBRAMANIYA NADAR COLLEGE OF ENGINEERING (AUTONOMOUS),RAJIV GANDHI SALAI (OMR),KANCHEEPURAM DIST, PIN - 603110.",EC,Electronics and Comm Engg.,198.0,195.75,197.25,196.25,182.25,187.25,171.25,2017
64,1315,"SRI SIVASUBRAMANIYA NADAR COLLEGE OF ENGINEERING (AUTONOMOUS),RAJIV GANDHI SALAI (OMR),KANCHEEPURAM DIST, PIN - 603110.",EE,Electrical and Elec. Engg.,197.25,194.5,196.75,194.75,181.75,187.0,164.0,2017
65,1315,"SRI SIVASUBRAMANIYA NADAR COLLEGE OF ENGINEERING (AUTONOMOUS),RAJIV GANDHI SALAI (OMR),KANCHEEPURAM DIST, PIN - 603110.",IT,Information Technology,197.0,194.0,196.75,194.5,167.5,183.0,151.5,2017
66,1315,"SRI SIVASUBRAMANIYA NADAR COLLEGE OF ENGINEERING (AUTONOMOUS),RAJIV GANDHI SALAI (OMR),KANCHEEPURAM DIST, PIN - 603110.",ME,Mechanical Engineering,197.75,196.0,197.0,195.75,170.75,188.25,170.0,2017
67,1317,"St.JOSEPH'S COLLEGE OF ENGINEERING,OLD MAMALLAPURAM ROAD,KANCHEEPURAM DIST, PIN - 600119.",CS,Computer Science and Engg.,194.25,188.5,193.5,190.75,118.0,169.5,136.5,2017
68,1317,"St.JOSEPH'S COLLEGE OF ENGINEERING,OLD MAMALLAPURAM ROAD,KANCHEEPURAM DIST, PIN - 600119.",EC,Electronics and Comm Engg.,194.75,191.5,194.0,191.0,147.75,171.75,130.75,2017
69,1317,"St.JOSEPH'S COLLEGE OF ENGINEERING,OLD MAMALLAPURAM ROAD,KANCHEEPURAM DIST, PIN - 600119.",ME,Mechanical Engineering,193.75,188.75,192.25,188.75,131.5,171.75,137.75,2017
70,1321,"CENTRAL INSTITUTE OF PLASTICS ENGINEERING AND TECHNOLOGY,T.V.K INDUSTRIAL ESTATE,,CHENNAI DIST, PIN - 600032.",PA,Plastic Technology,192.75,191.25,190.75,189.5,164.5,172.0,161.0,2017
71,1419,"SRI SAIRAM ENGINEERING COLLEGE,SAI LEO NAGAR, WEST TAMBARAM,KANCHEEPURAM DIST, PIN - 600044.",CS,Computer Science and Engg.,190.0,174.5,186.5,179.75,128.0,149.0,137.75,2017
72,1450,"LOYOLA - ICAM COLLEGE OF ENGINEERING AND TECHNOLOGY,LOYOLA COLLEGE CAMPUS,,CHENNAI DIST, PIN - 600034.",ME,Mechanical Engineering,192.0,188.0,190.0,182.25,147.0,159.25,152.5,2017
73,1516,"THANTHAI PERIYAR GOVT INSTITUTE OF TECHNOLOGY,BAGAYAM,VELLORE DIST, PIN - 632002.",CE,Civil Engineering,186.25,172.25,178.75,182.75,170.0,168.75,149.0,2017
74,1516,"THANTHAI PERIYAR GOVT INSTITUTE OF TECHNOLOGY,BAGAYAM,VELLORE DIST, PIN - 632002.",EC,Electronics and Comm Engg.,190.0,176.75,186.25,185.0,155.0,168.75,168.25,2017
75,1516,"THANTHAI PERIYAR GOVT INSTITUTE OF TECHNOLOGY,BAGAYAM,VELLORE DIST, PIN - 632002.",ME,Mechanical Engineering,188.25,164.25,183.5,183.0,145.75,168.5,152.0,2017
76,2005,"GOVERNMENT COLLEGE OF TECHNOLOGY (AUTONOMOUS), COIMBATORE,THADAGAM ROAD,,COIMBATORE DIST, PIN - 641013.",CS,Computer Science and Engg.,197.5,195.75,197.25,195.75,188.0,188.75,170.25,2017
77,2005,"GOVERNMENT COLLEGE OF TECHNOLOGY (AUTONOMOUS), COIMBATORE,THADAGAM ROAD,,COIMBATORE DIST, PIN - 641013.",EE,Electrical and Elec. Engg.,197.25,196.25,197.0,196.25,188.25,191.75,197.0,2017
78,2005,"GOVERNMENT COLLEGE OF TECHNOLOGY (AUTONOMOUS), COIMBATORE,THADAGAM ROAD,,COIMBATORE DIST, PIN - 641013.",EI,Electronics and Instru Engg.,196.5,194.0,196.0,194.0,189.5,182.0,172.75,2017
79,2005,"GOVERNMENT COLLEGE OF TECHNOLOGY (AUTONOMOUS), COIMBATORE,THADAGAM ROAD,,COIMBATORE DIST, PIN - 641013.",IB,Industrial Bio-Technology,194.5,192.5,192.75,192.0,176.75,178.0,177.0,2017
80,2005,"GOVERNMENT COLLEGE OF TECHNOLOGY (AUTONOMOUS), COIMBATORE,THADAGAM ROAD,,COIMBATORE DIST, PIN - 641013.",ME,Mechanical Engineering,197.25,195.0,196.75,195.75,187.25,191.0,180.5,2017
81,2005,"GOVERNMENT COLLEGE OF TECHNOLOGY (AUTONOMOUS), COIMBATORE,THADAGAM ROAD,,COIMBATORE DIST, PIN - 641013.",PR,Production Engineering,195.25,193.5,194.75,192.5,175.5,178.75,151.25,2017
82,2006,"P.S.G. COLLEGE OF TECHNOLOGY (AUTONOMOUS),AVINASHI ROAD,,COIMBATORE DIST, PIN - 641004.",AS,Automobile Engineering (SS),197.25,194.5,196.25,194.5,176.75,182.75,160.25,2017
83,2006,"P.S.G. COLLEGE OF TECHNOLOGY (AUTONOMOUS),AVINASHI ROAD,,COIMBATORE DIST, PIN - 641004.",BY,Bio Medical Engg(SS),197.5,195.25,197.0,195.5,183.5,189.5,178.25,2017
84,2006,"P.S.G. COLLEGE OF TECHNOLOGY (AUTONOMOUS),AVINASHI ROAD,,COIMBATORE DIST, PIN - 641004.",CM,Computer Science and Engg.(SS),199.0,197.75,198.5,196.75,181.75,190.25,180.25,2017
85,2006,"P.S.G. COLLEGE OF TECHNOLOGY (AUTONOMOUS),AVINASHI ROAD,,COIMBATORE DIST, PIN - 641004.",EC,Electronics and Comm Engg.,199.5,198.5,199.25,198.25,196.25,195.5,187.75,2017
86,2006,"P.S.G. COLLEGE OF TECHNOLOGY (AUTONOMOUS),AVINASHI ROAD,,COIMBATORE DIST, PIN - 641004.",EE,Electrical and Elec. Engg.,199.0,197.5,198.75,197.5,196.25,194.0,185.25,2017
87,2006,"P.S.G. COLLEGE OF TECHNOLOGY (AUTONOMOUS),AVINASHI ROAD,,COIMBATORE DIST, PIN - 641004.",FY,Fashion Technology(SS),194.5,191.25,192.75,189.75,157.0,166.5,147.25,2017
88,2006,"P.S.G. COLLEGE OF TECHNOLOGY (AUTONOMOUS),AVINASHI ROAD,,COIMBATORE DIST, PIN - 641004.",IM,Information Technology(SS),198.0,195.0,197.75,195.5,175.5,185.0,154.5,2017
89,2006,"P.S.G. COLLEGE OF TECHNOLOGY (AUTONOMOUS),AVINASHI ROAD,,COIMBATORE DIST, PIN - 641004.",PS,Production Engg.(Sandwich)(SS),195.25,192.75,194.75,191.75,171.0,175.0,166.25,2017
90,2007,"COIMBATORE INSTITUTE OF TECHNOLOGY (AUTONOMOUS),CIVIL AERODROME (POST) , COIMBATORE (VILLAGE),COIMBATORE DIST, PIN - 641014.",CM,Computer Science and Engg.(SS),197.5,194.5,197.25,195.5,177.5,185.75,160.0,2017
91,2007,"COIMBATORE INSTITUTE OF TECHNOLOGY (AUTONOMOUS),CIVIL AERODROME (POST) , COIMBATORE (VILLAGE),COIMBATORE DIST, PIN - 641014.",CS,Computer Science and Engg.,198.0,195.25,197.5,196.5,185.25,190.0,166.5,2017
92,2007,"COIMBATORE INSTITUTE OF TECHNOLOGY (AUTONOMOUS),CIVIL AERODROME (POST) , COIMBATORE (VILLAGE),COIMBATORE DIST, PIN - 641014.",EE,Electrical and Elec. Engg.,197.75,194.5,197.5,196.25,188.25,190.0,189.75,2017
93,2007,"COIMBATORE INSTITUTE OF TECHNOLOGY (AUTONOMOUS),CIVIL AERODROME (POST) , COIMBATORE (VILLAGE),COIMBATORE DIST, PIN - 641014.",EM,Electronics and Comm Engg(SS),198.0,194.25,197.75,196.25,183.25,186.75,162.75,2017
94,2007,"COIMBATORE INSTITUTE OF TECHNOLOGY (AUTONOMOUS),CIVIL AERODROME (POST) , COIMBATORE (VILLAGE),COIMBATORE DIST, PIN - 641014.",ME,Mechanical Engineering,198.25,195.5,198.0,197.0,191.5,191.75,185.5,2017
95,2369,"GOVERNMENT COLLEGE OF ENGINEERING - DHARMAPURI,CHETTIKARAI (POST) , CHETTIKARAI (VILLAGE),DHARMAPURI DIST, PIN - 636704.",CE,Civil Engineering,178.25,162.5,170.75,173.25,148.25,156.5,153.5,2017
96,2369,"GOVERNMENT COLLEGE OF ENGINEERING - DHARMAPURI,CHETTIKARAI (POST) , CHETTIKARAI (VILLAGE),DHARMAPURI DIST, PIN - 636704.",EC,Electronics and Comm Engg.,186.5,170.25,182.25,183.5,172.0,174.75,155.5,2017
97,2369,"GOVERNMENT COLLEGE OF ENGINEERING - DHARMAPURI,CHETTIKARAI (POST) , CHETTIKARAI (VILLAGE),DHARMAPURI DIST, PIN - 636704.",ME,Mechanical Engineering,181.75,165.0,175.5,178.75,162.75,163.0,150.75,2017
98,2377,"PSG INSTITUTE OF TECHNOLOGY AND APPLIED RESEARCH,NH 544, AVINASHI ROAD,,COIMBATORE DIST, PIN - 641062.",CE,Civil Engineering,194.5,192.25,194.0,191.5,170.0,172.75,161.5,2017
99,2377,"PSG INSTITUTE OF TECHNOLOGY AND APPLIED RESEARCH,NH 544, AVINASHI ROAD,,COIMBATORE DIST, PIN - 641062.",EE,Electrical and Elec. Engg.,196.25,192.75,196.0,193.5,171.5,180.5,176.5,2017
100,2603,"GOVERNMENT COLLEGE OF ENGINEERING - BARGUR (AUTONOMOUS),BARGUR (POST) , MADEPALLI (VILLAGE),KRISHNAGIRI DIST, PIN - 635104.",CS,Computer Science and Engg.,188.75,173.0,185.75,185.25,148.0,164.75,150.25,2017
101,2603,"GOVERNMENT COLLEGE OF ENGINEERING - BARGUR (AUTONOMOUS),BARGUR (POST) , MADEPALLI (VILLAGE),KRISHNAGIRI DIST, PIN - 635104.",EE,Electrical and Elec. Engg.,190.5,186.75,186.75,186.0,159.25,172.25,156.75,2017
102,2615,"GOVERNMENT COLLEGE OF ENGINEERING - SALEM (AUTONOMOUS),NH 7, BANGALORE HIGHWAY,,SALEM DIST, PIN - 636011.",CE,Civil Engineering,193.25,189.5,191.25,192.0,178.5,178.25,154.0,2017
103,2615,"GOVERNMENT COLLEGE OF ENGINEERING - SALEM (AUTONOMOUS),NH 7, BANGALORE HIGHWAY,,SALEM DIST, PIN - 636011.",EC,Electronics and Comm Engg.,196.25,192.5,195.75,195.0,184.0,188.0,172.0,2017
104,2615,"GOVERNMENT COLLEGE OF ENGINEERING - SALEM (AUTONOMOUS),NH 7, BANGALORE HIGHWAY,,SALEM DIST, PIN - 636011.",EE,Electrical and Elec. Engg.,196.0,191.75,195.25,195.0,187.25,186.75,187.0,2017
105,2615,"GOVERNMENT COLLEGE OF ENGINEERING - SALEM (AUTONOMOUS),NH 7, BANGALORE HIGHWAY,,SALEM DIST, PIN - 636011.",ME,Mechanical Engineering,194.75,191.75,194.0,193.5,186.0,185.25,175.0,2017
106,2615,"GOVERNMENT COLLEGE OF ENGINEERING - SALEM (AUTONOMOUS),NH 7, BANGALORE HIGHWAY,,SALEM DIST, PIN - 636011.",MT,Metallurgical Engineering,193.5,189.0,192.0,190.75,173.0,176.0,161.25,2017
